

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
141.103  003.999  002.034: require('telescope.pickers.layout_strategies')
141.928  000.816  000.816: require('telescope.actions.mt')
141.972  017.001  000.425: require('telescope.actions.layout')
148.057  000.274  000.274: require('plenary.tbl')
148.075  000.619  000.345: require('plenary.vararg.rotate')
148.080  000.869  000.249: require('plenary.vararg')
148.356  000.272  000.272: require('plenary.errors')
148.369  001.520  000.380: require('plenary.async.async')
148.701  000.328  000.328: require('plenary.async.structs')
148.716  002.523  000.675: require('plenary.async.control')
154.216  001.001  001.001: require('plenary.window.border')
154.713  000.482  000.482: require('plenary.window')
155.252  000.488  000.488: require('plenary.popup.utils')
155.267  003.316  001.346: require('plenary.popup')
155.976  000.704  000.704: require('telescope.pickers.scroller')
156.768  000.783  000.783: require('telescope.actions.utils')
157.302  000.526  000.526: require('telescope.actions.set')
157.716  000.409  000.409: require('telescope.pickers.entry_display')
158.010  000.290  000.290: require('telescope.from_entry')
158.847  010.128  004.100: require('telescope.actions')
161.910  001.894  001.894: require('telescope.make_entry')
163.497  000.630  000.630: require('plenary.async.util')
163.513  000.910  000.281: require('plenary.async.tests')
163.517  001.204  000.293: require('plenary.async')
163.521  001.597  000.394: require('telescope.finders.async_static_finder')
165.168  000.549  000.549: require('plenary.class')
165.214  001.254  000.705: require('telescope._')
165.222  001.699  000.446: require('telescope.finders.async_oneshot_finder')
166.070  000.844  000.844: require('telescope.finders.async_job_finder')
166.110  007.242  001.209: require('telescope.finders')
168.959  000.597  000.597: require('telescope.debounce')
170.058  001.078  001.078: require('telescope.mappings')
170.879  000.805  000.805: require('telescope.pickers.highlights')
172.313  000.634  000.634: require('telescope.algos.linked_list')
172.331  001.441  000.807: require('telescope.entry_manager')
172.960  000.625  000.625: require('telescope.pickers.multi')
173.017  006.900  002.353: require('telescope.pickers')
173.048  027.549  000.756: require('telescope.builtin.__lsp')
173.141  028.232  000.684: require('telescope.builtin')
177.065  000.922  000.922: require('nvim-treesitter.info')
177.895  000.816  000.816: require('nvim-treesitter.shell_command_selectors')
178.028  004.233  002.495: require('nvim-treesitter.install')
187.867  002.635  002.635: require('vim.diagnostic')
194.762  000.677  000.677: require('vim.lsp.log')
196.574  001.799  001.799: require('vim.lsp.protocol')
199.119  000.668  000.668: require('vim.lsp._snippet')
199.687  000.561  000.561: require('vim.highlight')
199.715  003.131  001.901: require('vim.lsp.util')
199.759  007.164  001.558: require('vim.lsp.handlers')
200.619  000.857  000.857: require('vim.lsp.rpc')
201.135  000.509  000.509: require('vim.lsp.sync')
201.903  000.763  000.763: require('vim.lsp.semantic_tokens')
202.750  000.842  000.842: require('vim.lsp.buf')
203.235  000.480  000.480: require('vim.lsp.diagnostic')
203.756  000.516  000.516: require('vim.lsp.codelens')
203.834  014.043  002.911: require('vim.lsp')
204.019  015.154  001.111: require('lspconfig.util')
204.281  000.256  000.256: require('lspconfig.async')
204.287  015.876  000.466: require('lspconfig.configs')
204.292  016.317  000.441: require('lspconfig')
204.515  000.218  000.218: require('lspconfig.server_configurations.tsserver')
205.374  000.525  000.525: require('lspconfig.manager')
205.586  000.201  000.201: require('neodev')
205.775  000.185  000.185: require('neodev.config')
206.437  000.425  000.425: require('neodev.util')
206.444  000.654  000.230: require('neodev.lsp')
207.438  000.187  000.187: require('cmp_nvim_lsp.source')
207.444  000.393  000.207: require('cmp_nvim_lsp')
207.834  000.196  000.196: require('mason-core.path')
208.473  000.301  000.301: require('mason-core.functional')
208.886  000.155  000.155: require('mason-core.functional.data')
208.908  000.413  000.258: require('mason-core.functional.function')
209.120  000.185  000.185: require('mason-core.functional.relation')
209.453  000.324  000.324: require('mason-core.functional.logic')
209.487  001.650  000.426: require('mason-core.platform')
209.832  000.340  000.340: require('mason.settings')
209.842  002.393  000.208: require('mason')
210.975  000.505  000.505: require('mason-core.functional.list')
211.346  000.362  000.362: require('mason-core.functional.string')
211.405  001.531  000.663: require('mason.api.command')
211.817  000.398  000.398: require('mason-registry.sources')
212.866  000.524  000.524: require('mason-core.log')
213.108  000.235  000.235: require('mason-lspconfig.settings')
213.155  001.314  000.555: require('mason-lspconfig')
213.913  000.226  000.226: require('mason-lspconfig.notify')
213.924  000.588  000.363: require('mason-lspconfig.lspconfig_hook')
214.690  000.335  000.335: require('mason-core.functional.table')
214.805  000.877  000.542: require('mason-lspconfig.mappings.server')
215.604  000.305  000.305: require('mason-core.EventEmitter')
215.946  000.336  000.336: require('mason-core.optional')
216.948  000.495  000.495: require('mason-core.async')
217.200  000.244  000.244: require('mason-core.async.uv')
217.221  001.269  000.530: require('mason-core.fs')
217.267  002.456  000.546: require('mason-registry')
217.493  000.220  000.220: require('mason-lspconfig.server_config_extensions')
217.932  000.434  000.434: require('lspconfig.server_configurations.omnisharp')
218.346  000.304  000.304: require('mason-lspconfig.ensure_installed')
219.331  000.511  000.511: require('mason-core.result')
220.549  000.401  000.401: require('mason-core.process')
221.187  000.632  000.632: require('mason-core.spawn')
221.199  001.311  000.278: require('mason-core.managers.powershell')
221.370  000.168  000.168: require('mason.version')
221.377  001.961  000.482: require('mason-core.fetch')
221.598  000.217  000.217: require('mason-core.providers')
222.805  000.455  000.455: require('mason-core.purl')
222.822  001.037  000.582: require('mason-core.package')
223.948  000.260  000.260: require('mason-core.installer.registry.expr')
223.963  000.679  000.419: require('mason-core.installer.registry.link')
225.868  000.260  000.260: require('mason-core.receipt')
225.900  000.834  000.573: require('mason-core.installer.context')
226.239  000.335  000.335: require('mason-core.async.control')
226.611  000.367  000.367: require('mason-core.installer.linker')
226.620  001.943  000.407: require('mason-core.installer')
226.646  002.371  000.427: require('mason-core.installer.managers.std')
226.649  002.683  000.312: require('mason-core.installer.registry.schemas')
226.872  000.220  000.220: require('mason-core.installer.registry.util')
226.887  004.062  000.480: require('mason-core.installer.registry')
226.894  005.292  000.193: require('mason-registry.sources.util')
226.909  008.549  000.568: require('mason-registry.sources.github')
241.176  000.214  000.214: require('mason-core.functional.number')
241.223  000.663  000.449: require('mason-lspconfig.api.command')
241.884  000.268  000.268: require('lspconfig.server_configurations.cssls')
243.156  000.246  000.246: require('lspconfig.server_configurations.emmet_ls')
245.156  000.391  000.391: require('lspconfig.server_configurations.eslint')
246.512  000.526  000.526: require('lspconfig.server_configurations.rust_analyzer')
248.134  000.308  000.308: require('lspconfig.server_configurations.tailwindcss')
250.747  001.805  001.805: require('lspconfig.server_configurations.stylelint_lsp')
252.131  000.324  000.324: require('lspconfig.server_configurations.pyright')
254.963  000.471  000.471: require('lspconfig.server_configurations.lua_ls')
256.553  000.473  000.473: require('lspconfig.server_configurations.html')
258.163  000.445  000.445: require('lspconfig.server_configurations.clangd')
261.582  000.300  000.300: require('cmp.utils.debug')
262.525  000.445  000.445: require('cmp.utils.char')
262.547  000.955  000.510: require('cmp.utils.str')
264.123  000.537  000.537: require('cmp.utils.misc')
264.420  000.290  000.290: require('cmp.utils.buffer')
264.819  000.393  000.393: require('cmp.utils.api')
264.834  001.908  000.687: require('cmp.utils.keymap')
264.849  002.296  000.388: require('cmp.utils.feedkeys')
267.441  000.309  000.309: require('cmp.types.cmp')
268.013  000.564  000.564: require('cmp.types.lsp')
268.289  000.268  000.268: require('cmp.types.vim')
268.295  001.430  000.289: require('cmp.types')
268.307  002.104  000.674: require('cmp.config.mapping')
268.700  000.389  000.389: require('cmp.utils.cache')
269.815  000.758  000.758: require('cmp.config.compare')
269.825  001.111  000.352: require('cmp.config.default')
269.905  004.352  000.748: require('cmp.config')
269.940  005.088  000.736: require('cmp.utils.async')
270.438  000.192  000.192: require('cmp.utils.pattern')
270.448  000.503  000.312: require('cmp.context')
272.223  000.382  000.382: require('cmp.matcher')
272.237  001.180  000.798: require('cmp.entry')
272.246  001.796  000.616: require('cmp.source')
273.603  000.602  000.602: require('cmp.utils.event')
275.483  000.320  000.320: require('cmp.utils.options')
275.499  001.128  000.808: require('cmp.utils.window')
275.504  001.892  000.764: require('cmp.view.docs_view')
277.438  000.654  000.654: require('cmp.utils.autocmd')
277.461  001.953  001.299: require('cmp.view.custom_entries_view')
278.021  000.557  000.557: require('cmp.view.wildmenu_entries_view')
278.441  000.412  000.412: require('cmp.view.native_entries_view')
278.801  000.354  000.354: require('cmp.view.ghost_text_view')
278.826  006.578  000.808: require('cmp.view')
280.026  019.898  002.381: require('cmp.core')
280.774  000.412  000.412: require('cmp.config.sources')
281.254  000.472  000.472: require('cmp.config.window')
281.399  022.214  001.432: require('cmp')
283.972  000.200  000.200: require('luasnip.session')
286.612  003.870  003.670: require('luasnip.util.util')
287.167  000.149  000.149: require('luasnip.session.snippet_collection.source')
287.185  000.563  000.415: require('luasnip.session.snippet_collection')
288.791  001.265  001.265: require('luasnip.util._builtin_vars')
289.249  002.061  000.796: require('luasnip.util.environ')
289.826  000.571  000.571: require('luasnip.util.extend_decorator')
290.797  000.185  000.185: require('luasnip.loaders._caches')
291.804  000.310  000.310: require('luasnip.util.path')
291.815  001.007  000.697: require('luasnip.loaders.util')
291.859  002.019  000.827: require('luasnip.loaders')
292.235  000.363  000.363: require('luasnip.util.log')
293.754  000.114  000.114: require('luasnip.util.types')
294.185  000.425  000.425: require('luasnip.util.ext_opts')
294.442  000.252  000.252: require('luasnip.extras.filetype_functions')
295.185  002.918  002.127: require('luasnip.config')
295.193  013.787  001.421: require('luasnip')
302.790  000.294  000.294: require('harpoon.utils')
303.154  000.351  000.351: require('harpoon.dev')
304.270  002.606  001.960: require('harpoon')
304.296  003.754  001.148: require('harpoon.mark')
304.904  000.605  000.605: require('harpoon.ui')
305.695  279.284  061.817: sourcing /home/rahim/.config/nvim/init.lua
305.714  005.450: sourcing vimrc file(s)
307.005  000.022  000.022: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
307.662  001.357  001.335: sourcing /home/rahim/nvim/share/nvim/runtime/filetype.lua
308.294  000.141  000.141: sourcing /home/rahim/nvim/share/nvim/runtime/syntax/synload.vim
308.538  000.762  000.621: sourcing /home/rahim/nvim/share/nvim/runtime/syntax/syntax.vim
311.083  000.281  000.281: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/gzip.vim
311.137  000.018  000.018: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/health.vim
312.005  000.277  000.277: sourcing /home/rahim/nvim/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
312.143  000.978  000.701: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/matchit.vim
312.384  000.214  000.214: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/matchparen.vim
312.909  000.497  000.497: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/netrwPlugin.vim
313.188  000.016  000.016: sourcing /home/rahim/.local/share/nvim/rplugin.vim
313.202  000.247  000.231: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/rplugin.vim
313.335  000.104  000.104: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/shada.vim
313.419  000.037  000.037: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/spellfile.vim
313.626  000.168  000.168: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/tarPlugin.vim
313.793  000.122  000.122: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/tohtml.vim
313.865  000.031  000.031: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/tutor.vim
314.160  000.221  000.221: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/zipPlugin.vim
320.439  000.555  000.555: require('toggleterm.lazy')
320.942  000.490  000.490: require('toggleterm.constants')
322.254  001.303  001.303: require('toggleterm.terminal')
322.269  007.053  004.705: require('toggleterm')
323.515  000.643  000.643: require('toggleterm.colors')
324.133  000.611  000.611: require('toggleterm.utils')
324.152  001.878  000.623: require('toggleterm.config')
325.124  000.939  000.939: require('vim.version')
329.660  000.895  000.895: require('toggleterm.commandline')
331.022  000.424  000.424: require('todo-comments.util')
331.043  000.933  000.509: require('todo-comments.config')
331.970  000.597  000.597: require('todo-comments.highlight')
331.977  000.931  000.334: require('todo-comments.jump')
331.982  002.285  000.421: require('todo-comments')
333.664  000.342  000.342: require('zen-mode.util')
333.736  000.760  000.418: require('zen-mode.config')
334.135  000.396  000.396: require('zen-mode.plugins')
334.145  001.674  000.518: require('zen-mode.view')
334.149  002.032  000.358: require('zen-mode')
336.213  000.580  000.580: require('which-key.util')
336.224  000.957  000.377: require('which-key.tree')
336.763  000.537  000.537: require('which-key.config')
336.786  002.203  000.709: require('which-key.keys')
336.797  002.605  000.402: require('which-key')
337.323  000.434  000.434: require('packer.load')
342.547  004.375  004.375: require('cmp.utils.highlight')
343.305  005.252  000.877: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
350.129  000.407  000.407: require('nvim-treesitter.statusline')
350.694  000.555  000.555: require('nvim-treesitter.query_predicates')
350.701  006.049  005.087: require('nvim-treesitter')
351.844  007.275  001.226: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
358.017  005.261  005.261: require('nvim-treesitter-textobjects')
359.862  000.652  000.652: require('nvim-treesitter.textobjects.shared')
359.872  001.423  000.771: require('nvim-treesitter.textobjects.select')
360.714  000.370  000.370: require('nvim-treesitter.textobjects.attach')
361.183  000.464  000.464: require('nvim-treesitter.textobjects.repeatable_move')
361.193  001.278  000.444: require('nvim-treesitter.textobjects.move')
361.853  000.428  000.428: require('nvim-treesitter.textobjects.swap')
362.356  000.461  000.461: require('nvim-treesitter.textobjects.lsp_interop')
362.404  009.688  000.837: sourcing /home/rahim/.local/share/nvim/site/pack/packer/opt/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
362.884  048.556  008.220: sourcing /home/rahim/.config/nvim/plugin/packer_compiled.lua
363.326  000.081  000.081: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/editorconfig.lua
363.456  000.095  000.095: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/man.lua
363.560  000.069  000.069: sourcing /home/rahim/nvim/share/nvim/runtime/plugin/nvim.lua
363.586  004.032: loading rtp plugins
364.696  000.560  000.560: sourcing /home/rahim/.config/nvim/pack/github/start/copilot.vim/autoload/copilot.vim
364.767  001.028  000.467: sourcing /home/rahim/.config/nvim/pack/github/start/copilot.vim/plugin/copilot.vim
366.020  000.230  000.230: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
366.199  000.040  000.040: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
367.999  001.524  001.524: require('vim.filetype')
368.300  001.991  000.467: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.lua
369.592  000.039  000.039: require('vim.fs')
369.760  000.157  000.157: require('barbar.animate')
370.504  000.093  000.093: require('barbar.utils.table')
370.601  000.089  000.089: require('barbar.utils')
370.610  000.519  000.337: require('barbar.config')
370.703  000.090  000.090: require('barbar.utils.list')
